id,tipo_area,dettaglio,ora_inizio,ora_fine,disposizio,posti,municipio,longitudine,latitudine
203,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1791646,45.4451079
208,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1794729,45.4450271
242,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1784509,45.4457709
250,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.205452,45.4899474
255,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,2,9.205566,45.4900565
269,carico scarico merci,,08:00:00,19:00:00,linea,2,2,9.2059241,45.4903865
272,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,3,9.2161576,45.4845467
280,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1776381,45.4457436
283,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2157475,45.4845902
300,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2057112,45.4904402
305,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1761774,45.4452597
306,carico scarico merci,merci,08:00:00,20:00:00,linea,1,3,9.2156964,45.4842298
315,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2051398,45.4899138
317,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1791331,45.4437724
321,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1792352,45.4445582
348,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2041209,45.4887145
357,carico scarico merci,merci,08:00:00,20:00:00,linea,3,2,9.2045639,45.489389
359,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,3,9.2225845,45.4704701
410,carico scarico merci,merci,08:00:00,20:00:00,linea,3,2,9.2067311,45.4904583
453,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1787851,45.4420118
456,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1789566,45.4421473
470,carico scarico merci,merci,08:00:00,20:00:00,linea,1,2,9.2033627,45.4871317
477,carico scarico merci,merci,08:00:00,20:00:00,linea,3,2,9.2075989,45.4916401
495,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2031172,45.4896118
496,carico scarico merci,30 min,08:00:00,20:00:00,linea,5,2,9.2027041,45.4892507
500,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2027786,45.4894336
502,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1795608,45.4417334
504,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1788762,45.441529
506,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,7,9.1544281,45.4642918
510,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1796742,45.4433763
514,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1777935,45.4434585
526,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1781379,45.4437144
551,carico scarico merci,30 min,08:00:00,20:00:00,linea,4,5,9.1727245,45.441002
554,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2158413,45.4850347
579,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.172798,45.4422096
580,carico scarico merci,merci,08:00:00,20:00:00,linea,1,5,9.1727927,45.4420844
584,carico scarico merci,30 min,08:00:00,20:00:00,linea,3,7,9.1588087,45.4661684
597,carico scarico merci,30 min,08:00:00,20:00:00,linea,1,7,9.1587667,45.4641059
606,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2179995,45.4843956
635,carico scarico merci,hotel,08:00:00,20:00:00,linea,3,8,9.1575005,45.4867815
657,carico scarico merci,merci,08:00:00,20:00:00,linea,4,8,9.1583706,45.4861233
707,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1739968,45.4440783
708,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1614673,45.4777216
717,carico scarico merci,merci,08:00:00,20:00:00,linea,3,6,9.1736559,45.4439511
775,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2030773,45.4888473
826,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.168237,45.4455564
829,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1673012,45.4443537
838,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1665879,45.4442922
879,carico scarico merci,merci,08:00:00,20:00:00,linea,3,8,9.1500537,45.4874797
886,carico scarico merci,merci,08:00:00,20:00:00,spina,2,8,9.1513887,45.4878598
909,carico scarico merci,merci,08:00:00,20:00:00,linea,1,6,9.156034,45.4467191
934,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1550909,45.4468702
950,carico scarico merci,merci,08:00:00,20:00:00,linea,3,8,9.1521918,45.489591
955,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1528795,45.4892771
